Nonterminal,uma,parenl,parenr,keyl,keyr,id,dotcomma,hun,chillu,assign,ari,shuc,pacha,haykaq,opemasmas,int,igualq,noigualq,menorq,mayorq,menoriguq,mayoiguq,num,or,and,opesuma,opemenos,opemult,opediv,opemod,$
PROGRAM,PROGRAM -> BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK,BLOCK -> FUNCTION_M uma parenl parenr keyl STATEMENT keyr,,,,,,,,,,BLOCK -> FUNCTION_M uma parenl parenr keyl STATEMENT keyr,BLOCK -> FUNCTION_M uma parenl parenr keyl STATEMENT keyr,,,,,,,,,BLOCK -> FUNCTION_M uma parenl parenr keyl STATEMENT keyr
FUNCTION_M,FUNCTION_M -> '',,,,,,,,,,FUNCTION_M -> UJJ_DECL FUNCTION_M,FUNCTION_M -> UJJ_DECL FUNCTION_M,,,,,,,,,
UJJ_DECL,,,,,,,,UJJ_DECL -> TYPE unan id parenl PARAM_DEF_M parenr keyl STATEMENT RETURN keyr,UJJ_DECL -> TYPE unan id parenl PARAM_DEF_M parenr keyl STATEMENT RETURN keyr,,,,,,,,,
PARAM_DEF_M,,,PARAM_DEF_M -> '',,,,,,,,PARAM_DEF_M -> TYPE id PARAM_DEF,PARAM_DEF_M -> TYPE id PARAM_DEF,,,,,,,,,
PARAM_DEF,,,PARAM_DEF -> '',,,,,PARAM_DEF -> comma TYPE id PARAM_DEF,,,,,,,,,,,,,
PARAM_M,,PARAM_M -> E PARAM_E,PARAM_M -> '',,,,PARAM_M -> E PARAM_E,,,,,,,PARAM_M -> E PARAM_E,PARAM_M -> E PARAM_E,,,,,,
PARAM_E,,,PARAM_E -> '',,,,,PARAM_E -> comma E PARAM_E,,,,,,,,,,,,,
RETURN,,,,,,,,,RETURN -> chaya E dotcomma,,,,,,,,,,,,
TYPE,,,,,,,,TYPE -> hun,TYPE -> chillu,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,STATEMENT -> '',STATEMENT -> id assign E dotcomma,,,,,STATEMENT -> IF_DECL,,STATEMENT -> WHILE_DECL,STATEMENT -> FOR_DECL,,,,,,,,,,,,,,,,,
E,,,,,,E -> TERM E',,,,,,,,,,,,,,,,,E -> TERM E',,,,,,,,
E',,,E' -> '',,E' -> '',,E' -> '',,,,,,,,,,,,,,,,,E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',
T,,T -> parenl E parenr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF_DECL,,,,,,,,,,,IF_DECL -> ari parenl COMPARATION parenr keyl E keyr SHUC_DECL,,,,,,,,,,,,,,,,,,,,
SHUC_DECL,,,,,SHUC_DECL -> '',,,,,,,SHUC_DECL -> shuc keyl E keyr,,,,,,,,,,,,,,,,,,,
WHILE_DECL,,,,,,,,,,,,,WHILE_DECL -> pacha parenl COMPARATION parenr keyl E keyr,,,,,,,,,,,,,,,,,,
FOR_DECL,,,,,,,,,,,,,,FOR_DECL -> haykaq parenl F dotcomma COMPARATION dotcomma id opemasmas parenr keyl E keyr,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,F -> int UNO assign TERM,,,,,,,,,,,,,,,
COMPARATION,,,,,,COMPARATION -> TERM OPER_COMP TERM,,,,,,,,,,,,,,,,,COMPARATION -> TERM OPER_COMP TERM,,,,,,,,
OPER_COMP,,,,,,,,,,,,,,,,,OPER_COMP -> igualq,OPER_COMP -> noigualq,OPER_COMP -> menorq,OPER_COMP -> mayorq,OPER_COMP -> menoriguq,OPER_COMP -> mayoiguq,,,,,,,,,
TERM,,,,,,TERM -> id,,,,,,,,,,,,,,,,,TERM -> num,,,,,,,,
UNO,,,,,,UNO -> id,,,,,,,,,,,,,,,,,,,,,,,,,
OPER,,,,,,,,,,,,,,,,,,,,,,,,OPER -> or,OPER -> and,OPER -> opesuma,OPER -> opemenos,OPER -> opemult,OPER -> opediv,OPER -> opemod,
